W;B;E;RE_OA_a;RE_OA_b;Bewerkingstype;Count
5;5;2;0.01;0.88;0;1322
5;6;0;0.007;0.98;0;6093
5;6;1;0.008;0.82;0;3951
5;6;2;0.014;0.51;0;1595
5;7;0;0.007;0.98;0;8546
5;7;1;0.005;1.03;0;5072
5;7;2;0.008;0.77;0;1683
5;8;0;0.009;0.79;0;7344
5;8;1;0.006;0.95;0;4255
5;8;2;0.009;0.64;0;2535
5;9;0;0.009;0.79;0;1808
5;9;1;0.009;0.79;0;2257
5;9;2;0.012;0.46;0;1434
5;10;0;0.009;0.86;0;2201
5;10;1;0.01;0.78;0;807
5;10;2;0.006;0.9;0;151
6;0;0;0.007;1.32;0;13297
6;0;1;0.007;1.25;0;24045
6;0;2;0.014;0.82;0;9502
6;1;0;0.008;1.35;0;4839
6;1;1;0.009;1.23;0;10338
6;1;2;0.012;1.09;0;2563
6;2;0;0.005;1.4;0;5131
6;2;1;0.007;1.29;0;12029
6;2;2;0.022;0.82;0;5769
6;3;0;0.001;1.64;0;1156
6;3;1;0.005;1.12;0;3864
6;3;2;0.007;1.21;0;1705
6;4;0;0.003;1.26;0;4445
6;4;1;0.004;1.14;0;8719
6;4;2;0.019;0.46;0;5805
6;5;0;0;1.54;0;3776
6;5;1;0.002;1.46;0;3897
6;5;2;0.016;0.6;0;1294
6;6;0;0.002;1.4;0;6304
6;6;1;0.002;1.39;0;5327
6;6;2;0.011;0.76;0;1123
6;7;0;0.002;1.44;0;8901
6;7;1;0.002;1.48;0;7655
6;7;2;0.008;0.97;0;1898
6;8;0;0.003;1.46;0;7410
6;8;1;0.004;1.32;0;6599
6;8;2;0.006;1.01;0;2290
6;9;0;0.003;1.32;0;2164
6;9;1;0.004;1.23;0;2316
6;9;2;0.008;0.93;0;1290
6;10;0;0.008;0.93;0;213
6;10;1;0.011;0.58;0;131
6;10;2;0.006;1.01;0;134
