W;B;E;S;RE_OA_a;RE_OA_b;Bewerkingstype;Count
1.000000000000000000;0.000000000000000000;0.000000000000000000;A;0.002665438634985670;2.272501544885090000;0.000000000000000000;500.000000000000000000
1.000000000000000000;0.000000000000000000;0.000000000000000000;B;0.001874177323815690;2.500693529723750000;0.000000000000000000;704.000000000000000000
1.000000000000000000;0.000000000000000000;0.000000000000000000;C;0.002632328019480870;2.264368579381140000;0.000000000000000000;1552.000000000000000000
1.000000000000000000;0.000000000000000000;0.000000000000000000;D;0.003625703844464430;2.085634599745840000;0.000000000000000000;6544.000000000000000000
1.000000000000000000;0.000000000000000000;0.000000000000000000;E;0.002904602482239490;2.231943986650320000;0.000000000000000000;1458.000000000000000000
1.000000000000000000;0.000000000000000000;0.000000000000000000;F;0.003479576609615200;2.028547468514400000;0.000000000000000000;5754.000000000000000000
1.000000000000000000;0.000000000000000000;0.000000000000000000;G;0.004351186937510590;1.881594838641100000;0.000000000000000000;10934.000000000000000000
1.000000000000000000;0.000000000000000000;1.000000000000000000;A;0.005699477081392320;1.549454838466000000;3.000000000000000000;0.000000000000000000
1.000000000000000000;0.000000000000000000;1.000000000000000000;B;0.005699477081392320;1.549454838466000000;3.000000000000000000;0.000000000000000000
1.000000000000000000;0.000000000000000000;1.000000000000000000;C;0.005699477081392320;1.549454838466000000;3.000000000000000000;0.000000000000000000
1.000000000000000000;0.000000000000000000;1.000000000000000000;D;0.005699477081392320;1.549454838466000000;0.000000000000000000;112.000000000000000000
1.000000000000000000;0.000000000000000000;1.000000000000000000;E;0.005126288411715850;1.584240471250860000;1.000000000000000000;0.000000000000000000
1.000000000000000000;0.000000000000000000;1.000000000000000000;F;0.004553099742039380;1.619026104035710000;0.000000000000000000;129.000000000000000000
1.000000000000000000;0.000000000000000000;1.000000000000000000;G;0.004362624636067560;1.737154138472360000;0.000000000000000000;540.000000000000000000
1.000000000000000000;0.000000000000000000;2.000000000000000000;A;0.002665438634985670;2.272501544885090000;5.000000000000000000;0.000000000000000000
1.000000000000000000;0.000000000000000000;2.000000000000000000;B;0.001874177323815690;2.500693529723750000;5.000000000000000000;0.000000000000000000
1.000000000000000000;0.000000000000000000;2.000000000000000000;C;0.002632328019480870;2.264368579381140000;5.000000000000000000;0.000000000000000000
1.000000000000000000;0.000000000000000000;2.000000000000000000;D;0.003625703844464430;2.085634599745840000;5.000000000000000000;0.000000000000000000
1.000000000000000000;0.000000000000000000;2.000000000000000000;E;0.002904602482239490;2.231943986650320000;5.000000000000000000;0.000000000000000000
1.000000000000000000;0.000000000000000000;2.000000000000000000;F;0.003479576609615200;2.028547468514400000;5.000000000000000000;0.000000000000000000
1.000000000000000000;0.000000000000000000;2.000000000000000000;G;0.004351186937510590;1.881594838641100000;5.000000000000000000;0.000000000000000000
1.000000000000000000;1.000000000000000000;0.000000000000000000;A;0.004731834325525280;2.259686364480490000;0.000000000000000000;246.000000000000000000
1.000000000000000000;1.000000000000000000;0.000000000000000000;B;0.003058112187747920;2.302042500075450000;0.000000000000000000;354.000000000000000000
1.000000000000000000;1.000000000000000000;0.000000000000000000;C;0.003051588418271660;2.329643976558800000;0.000000000000000000;994.000000000000000000
1.000000000000000000;1.000000000000000000;0.000000000000000000;D;0.003176732027179420;2.249740097584580000;0.000000000000000000;3822.000000000000000000
1.000000000000000000;1.000000000000000000;0.000000000000000000;E;0.002533665453048300;2.303322135817970000;0.000000000000000000;1002.000000000000000000
1.000000000000000000;1.000000000000000000;0.000000000000000000;F;0.003289089550214580;2.143883005679030000;0.000000000000000000;4266.000000000000000000
1.000000000000000000;1.000000000000000000;0.000000000000000000;G;0.004709607418509350;1.903151115962850000;0.000000000000000000;6806.000000000000000000
1.000000000000000000;1.000000000000000000;1.000000000000000000;A;0.006844505459449410;1.481061867738060000;3.000000000000000000;0.000000000000000000
1.000000000000000000;1.000000000000000000;1.000000000000000000;B;0.006844505459449410;1.481061867738060000;3.000000000000000000;0.000000000000000000
1.000000000000000000;1.000000000000000000;1.000000000000000000;C;0.006844505459449410;1.481061867738060000;3.000000000000000000;0.000000000000000000
1.000000000000000000;1.000000000000000000;1.000000000000000000;D;0.006844505459449410;1.481061867738060000;0.000000000000000000;56.000000000000000000
1.000000000000000000;1.000000000000000000;1.000000000000000000;E;0.004848898220539150;1.728872537402250000;1.000000000000000000;0.000000000000000000
1.000000000000000000;1.000000000000000000;1.000000000000000000;F;0.002853290981628880;1.976683207066440000;0.000000000000000000;78.000000000000000000
1.000000000000000000;1.000000000000000000;1.000000000000000000;G;0.006126681142052100;1.478861753453310000;0.000000000000000000;277.000000000000000000
1.000000000000000000;1.000000000000000000;2.000000000000000000;A;0.004731834325525280;2.259686364480490000;5.000000000000000000;0.000000000000000000
1.000000000000000000;1.000000000000000000;2.000000000000000000;B;0.003058112187747920;2.302042500075450000;5.000000000000000000;0.000000000000000000
1.000000000000000000;1.000000000000000000;2.000000000000000000;C;0.003051588418271660;2.329643976558800000;5.000000000000000000;0.000000000000000000
1.000000000000000000;1.000000000000000000;2.000000000000000000;D;0.003176732027179420;2.249740097584580000;5.000000000000000000;0.000000000000000000
1.000000000000000000;1.000000000000000000;2.000000000000000000;E;0.002533665453048300;2.303322135817970000;5.000000000000000000;0.000000000000000000
1.000000000000000000;1.000000000000000000;2.000000000000000000;F;0.003289089550214580;2.143883005679030000;5.000000000000000000;0.000000000000000000
1.000000000000000000;1.000000000000000000;2.000000000000000000;G;0.004709607418509350;1.903151115962850000;5.000000000000000000;0.000000000000000000
