W;B;E;Bewerkingstype;RE_FO_a_WBE [m3 aardgas];RE_FO_b_WBE [m3 aardgas];FVrvKC_mean [m3 aardgas];FVrvKC sd [m3 aardgas];OP_mean [m2];Se (stdv residuals);Sse;t a/2;Count
1.000000000000000;10.000000000000000;1.000000000000000;0.000000000000000;4.654295429594380;349.316050184501000;1298.585969748520000;604.664868930729000;203.955665024631000;586.490362645883000;1417999.201970440000000;1.965838690635640;406.000000000000000
1.000000000000000;10.000000000000000;2.000000000000000;5.000000000000000;4.268274070565110;427.449469804922000;1280.574782599270000;546.022005710826000;OP_mean [m2];546.309514669430000;22769505.554468700000000;1.960227751637710;0.000000000000000
2.000000000000000;0.000000000000000;0.000000000000000;0.000000000000000;4.814924224703760;914.481201289204000;1583.222419272710000;668.642748700411000;138.889250749251000;671.343560913799000;143479873.116903000000000;1.960011384640710;50050.000000000000000
2.000000000000000;0.000000000000000;1.000000000000000;0.000000000000000;4.649329869690320;958.100406179975000;1555.236280737080000;685.869060755732000;128.434826371414000;687.639139465637000;6549470.310015100000000;1.961159197569300;1987.000000000000000
2.000000000000000;0.000000000000000;2.000000000000000;0.000000000000000;9.696476143257960;397.200691642853000;1272.735449284090000;605.078806128403000;90.294117647058800;558.786373625087000;279504.941176471000000;1.969347540219180;255.000000000000000
2.000000000000000;1.000000000000000;0.000000000000000;0.000000000000000;5.456922561008400;864.100181390065000;1599.253648134370000;649.596126783017000;134.719424460432000;653.704203953473000;80419536.230215900000000;1.960024508132260;39198.000000000000000
2.000000000000000;1.000000000000000;1.000000000000000;0.000000000000000;5.764292237695760;909.769132214030000;1625.773254722980000;651.045672574736000;124.213709677419000;649.286307485315000;2033822.693548390000000;1.962360676736030;992.000000000000000
2.000000000000000;1.000000000000000;2.000000000000000;0.000000000000000;4.255051556981840;901.548029653749000;1306.309809011650000;503.325885255201000;95.125000000000000;525.261040618277000;119560.500000000000000;1.985251003505500;96.000000000000000
2.000000000000000;2.000000000000000;0.000000000000000;0.000000000000000;4.627922627801840;901.284120385191000;1491.814587425770000;607.029462116254000;127.601629183038000;634.302819145603000;79137372.123272600000000;1.960004161333240;59048.000000000000000
2.000000000000000;2.000000000000000;1.000000000000000;0.000000000000000;4.925033898776240;957.884642258060000;1559.649128335520000;646.000161983526000;122.184841453983000;660.043301859274000;2646126.822892500000000;1.961801799833100;1293.000000000000000
2.000000000000000;2.000000000000000;2.000000000000000;0.000000000000000;3.356103511432260;901.446597686032000;1234.199599589660000;473.493066302799000;99.148611111111100;510.949960383298000;256789.098611111000000;1.963268854870690;720.000000000000000
2.000000000000000;3.000000000000000;0.000000000000000;0.000000000000000;5.715482182464510;740.501448407998000;1520.029781620460000;598.905292703975000;136.388900940699000;619.454967529570000;53752848.873449400000000;1.960010770460670;50707.000000000000000
2.000000000000000;3.000000000000000;1.000000000000000;0.000000000000000;4.418551740686840;1036.505466655650000;1615.411225858590000;625.708954846051000;131.017082785808000;645.895390123545000;1543708.777923780000000;1.963090286478020;761.000000000000000
2.000000000000000;3.000000000000000;2.000000000000000;0.000000000000000;5.087374208539800;574.797389147086000;1113.730837561430000;440.965154409723000;105.935483870968000;466.551100468241000;70311.354838709700000;1.975488058234340;155.000000000000000
2.000000000000000;4.000000000000000;0.000000000000000;0.000000000000000;6.003917122923220;533.824144860236000;1388.135082456420000;557.848344810018000;142.292260220314000;562.276761039025000;76689983.483172700000000;1.960001913685690;62547.000000000000000
2.000000000000000;4.000000000000000;1.000000000000000;0.000000000000000;5.009916488096480;756.626106329853000;1491.214772876910000;600.827677830690000;146.626928471248000;597.191695176818000;1708504.762973350000000;1.963301400916230;713.000000000000000
2.000000000000000;4.000000000000000;2.000000000000000;0.000000000000000;5.132669229294530;520.814697621398000;1066.388655372630000;371.987453184782000;106.294392523364000;381.397332923959000;130202.453271028000000;1.971163885465250;214.000000000000000
2.000000000000000;5.000000000000000;0.000000000000000;0.000000000000000;5.209207532202850;501.042467905192000;1251.204965373450000;474.587399465482000;144.007028483856000;478.954139625454000;21973684.065211700000000;1.960089363484870;18923.000000000000000
2.000000000000000;5.000000000000000;1.000000000000000;0.000000000000000;4.224728602354730;774.480430744645000;1418.458586970730000;534.114204698601000;152.430656934307000;534.003676510171000;352219.591240876000000;1.977560776558930;137.000000000000000
2.000000000000000;5.000000000000000;2.000000000000000;5.000000000000000;5.209207532202850;501.042467905192000;1251.204965373450000;474.587399465482000;144.007028483856000;478.954139625454000;21973684.065211700000000;1.960089363484870;0.000000000000000
2.000000000000000;6.000000000000000;0.000000000000000;0.000000000000000;5.078701061169880;458.724339556473000;1226.906143451280000;464.861653504613000;151.255566067487000;469.969150925473000;18179972.446294500000000;1.960113628117210;15855.000000000000000
2.000000000000000;6.000000000000000;1.000000000000000;0.000000000000000;3.742338016335440;769.624451551776000;1351.956391009800000;523.326956720481000;155.606451612903000;528.893495718460000;430690.993548387000000;1.975488058234340;155.000000000000000
2.000000000000000;6.000000000000000;2.000000000000000;5.000000000000000;5.078701061169880;458.724339556473000;1226.906143451280000;464.861653504613000;151.255566067487000;469.969150925473000;18179972.446294500000000;1.960113628117210;0.000000000000000
2.000000000000000;7.000000000000000;0.000000000000000;0.000000000000000;4.492751743099090;452.575258115202000;1192.094981644870000;473.060203552575000;164.602846054334000;481.799127141360000;20197332.401034900000000;1.960125530462990;14687.000000000000000
2.000000000000000;7.000000000000000;1.000000000000000;0.000000000000000;3.549924896814940;659.787177085528000;1230.844902394900000;504.273092499614000;160.864734299517000;514.991398956680000;513242.212560387000000;1.971546669445230;207.000000000000000
